"","comp","cryoEM_Distance","WGS_Distance","LCL"
"1","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0,0,"Species"
"2","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.55973637056976,0,"Species"
"3","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.453804765081862,0,"Species"
"4","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",1.26219463671472,0,"Species"
"5","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.680915872072056,0,"Species"
"6","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",1.20517870823784,0,"Species"
"7","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",1.2412951371299,0,"Species"
"8","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",1.28337803210605,0,"Species"
"9","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.997475318413992,0,"Species"
"10","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",1.02121950166301,0,"Species"
"11","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.742363283937402,0,"Species"
"12","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.621358922140495,0,"Species"
"13","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313 Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.705380667652023,0,"Species"
